Date,Patient Residence,geolocation,State,Naloxone Prescription Count,"Naloxone Rate per 1,000 Residents",Opiate Agonist Prescription Count,"Opiate Agonist Rate per 1,000 Residents",Opiate Partial Agonist Prescription Count,"Opiate Partial Agonist Rate per 1,000 Residents",Benzodiazepine Prescription Count,"Benzodiazepine Rate per 1,000 Residents",Stimulant Prescription Count,"Stimulant Rate per 1,000 Residents",Gabapentin Prescription Count,"Gabapentin Rate per 1,000 Residents"
2024 Quarter 4,Preston,POINT (-71.98967 41.52951),CT,2,0.41,497,102.92,102,21.12,505,104.58,665,137.71,319,66.06
2023 Quarter 3,East Granby,POINT (-72.7294 41.94359),CT,1,0.19,395,75.7,46,8.82,439,84.13,518,99.27,237,45.42
2024 Quarter 1,West Haven,POINT (-72.94998 41.27228),CT,105,1.91,5461,99.28,1249,22.71,4758,86.5,3039,55.25,2777,50.49
2023 Quarter 2,Burlington,POINT (-72.96183 41.76759),CT,12,1.25,774,80.7,102,10.63,836,87.17,846,88.21,484,50.46
2024 Quarter 3,Guilford,POINT (-72.68142 41.28424),CT,30,1.36,1961,89.06,359,16.3,2611,118.57,2607,118.39,1146,52.04
2022 Quarter 1,Bolton,POINT (-72.44233 41.79117),CT,8,1.64,494,101.48,42,8.63,414,85.05,355,72.93,269,55.26
2024 Quarter 1,Madison,POINT (-72.59507 41.27973),CT,15,0.85,1124,63.99,206,11.73,1843,104.92,2290,130.37,993,56.53
2024 Quarter 1,Watertown,POINT (-73.11894 41.60552),CT,14,0.63,2122,95.66,391,17.63,2340,105.49,1628,73.39,1103,49.72
2023 Quarter 1,Farmington,POINT (-72.83774 41.71291),CT,16,0.6,2000,75.06,286,10.73,2198,82.49,2003,75.17,1264,47.44
2022 Quarter 1,Lisbon,POINT (-72.01016 41.60741),CT,1,0.24,383,91.39,109,26.01,394,94.01,265,63.23,242,57.74
2024 Quarter 2,Hartland,POINT (-72.90676 41.99858),CT,4,2.1,114,59.75,16,8.39,96,50.31,120,62.89,71,37.21
2022 Quarter 2,Berlin,POINT (-72.74506 41.62316),CT,11,0.55,1427,70.8,344,17.07,1780,88.32,1230,61.03,844,41.88
2023 Quarter 3,Middlebury,POINT (-73.12099 41.5278),CT,5,0.64,642,82.23,68,8.71,728,93.25,746,95.56,368,47.14
2023 Quarter 2,Stafford,POINT (-72.28626 41.98679),CT,11,0.96,1418,124.26,292,25.59,1163,101.91,925,81.06,804,70.45
2023 Quarter 3,Sherman,POINT (-73.49254 41.58031),CT,1,0.28,200,56.55,8,2.26,255,72.09,330,93.3,133,37.6
2022 Quarter 3,Enfield,POINT (-72.57439 41.9984),CT,52,1.24,4402,104.73,1060,25.22,4239,100.85,3057,72.73,2683,63.83
2024 Quarter 2,Washington,POINT (-73.31101 41.63097),CT,1,0.27,299,81.56,9,2.45,261,71.19,302,82.38,123,33.55
2024 Quarter 3,Oxford,POINT (-73.12356 41.43916),CT,14,1.07,1367,104.15,176,13.41,1174,89.45,1106,84.27,744,56.69
2023 Quarter 2,Windsor,POINT (-72.64351 41.85179),CT,27,0.92,2293,78.06,237,8.07,2047,69.68,1764,60.05,1412,48.07
2024 Quarter 3,Colchester,POINT (-72.32694 41.5749),CT,22,1.42,1915,123.52,426,27.48,1811,116.81,1886,121.65,1110,71.59
2025 Quarter 1,Ashford,POINT (-72.189 41.86322),CT,4,0.95,425,100.5,55,13.01,394,93.17,457,108.06,278,65.74
2022 Quarter 2,Vernon,POINT (-72.44806 41.86753),CT,51,1.69,3567,118.04,849,28.1,3493,115.59,2114,69.96,2320,76.78
2022 Quarter 3,Plainfield,POINT (-71.91829 41.68003),CT,29,1.94,2086,139.45,561,37.5,1824,121.93,1382,92.39,1310,87.57
2022 Quarter 4,Hartland,POINT (-72.90676 41.99858),CT,0,0,100,52.88,28,14.81,126,66.63,139,73.51,139,73.51
2024 Quarter 1,Canaan,POINT (-73.301162 41.965661),CT,0,0,67,61.98,13,12.03,92,85.11,85,78.63,44,40.7
2022 Quarter 4,New Britain,POINT (-72.78215 41.66772),CT,179,2.42,7764,105.14,2228,30.17,5699,77.18,3421,46.33,3421,46.33
2024 Quarter 4,Canton,POINT (-72.89936 41.82742),CT,3,0.3,726,71.56,93,9.17,863,85.06,1063,104.77,541,53.32
2023 Quarter 4,New Canaan,POINT (-73.49182 41.14598),CT,6,0.29,948,45.63,68,3.27,1869,89.96,2764,133.04,835,40.19
2022 Quarter 4,Old Saybrook,POINT (-72.37706 41.29725),CT,11,1.04,1098,103.95,187,17.7,1454,137.65,1139,107.83,1139,107.83
2022 Quarter 1,Trumbull,POINT (-73.21967 41.23495),CT,34,0.93,2918,79.42,305,8.3,3613,98.33,2988,81.32,1637,44.55
2022 Quarter 3,Willington,POINT (-72.30139 41.87944),CT,4,0.72,493,89.18,90,16.28,485,87.74,440,79.59,294,53.18
2022 Quarter 1,East Lyme,POINT (-72.22334 41.36844),CT,71,3.81,3602,193.19,1035,55.51,4082,218.93,2115,113.44,1700,91.18
2023 Quarter 2,Coventry,POINT (-72.30498 41.77009),CT,17,1.39,1073,87.91,288,23.6,1307,107.09,1102,90.29,770,63.09
2023 Quarter 2,Bridgeport,POINT (-73.19064 41.18213),CT,550,3.71,12737,85.87,1400,9.44,7435,50.12,4367,29.44,6324,42.63
2023 Quarter 4,Griswold,POINT (-71.93757 41.58487),CT,19,1.65,1566,136.07,555,48.22,1441,125.21,1631,141.72,927,80.55
2023 Quarter 2,Voluntown,POINT (-71.86749 41.57275),CT,2,0.78,314,122.94,51,19.97,295,115.51,257,100.63,181,70.87
2024 Quarter 2,Newtown,POINT (-73.3087 41.41327),CT,9,0.33,2047,74.23,303,10.99,2392,86.74,3269,118.54,1465,53.12
2024 Quarter 4,Middlefield,POINT (-72.71217 41.51513),CT,5,1.17,392,92.08,98,23.02,472,110.88,417,97.96,261,61.31
2023 Quarter 2,Andover,POINT (-72.38047 41.74159),CT,4,1.28,319,101.82,34,10.85,299,95.44,234,74.69,202,64.47
2024 Quarter 1,Killingworth,POINT (-72.56592 41.35961),CT,3,0.48,537,86.07,125,20.04,689,110.43,624,100.02,348,55.78
2024 Quarter 4,West Haven,POINT (-72.94998 41.27228),CT,105,1.92,5471,99.85,1311,23.93,4626,84.43,3214,58.66,2821,51.49
2022 Quarter 2,Middlefield,POINT (-72.71217 41.51513),CT,8,1.9,479,113.59,106,25.14,491,116.43,384,91.06,253,60
2022 Quarter 3,Simsbury,POINT (-72.79998 41.8805),CT,19,0.77,1409,56.8,169,6.81,2087,84.13,2294,92.47,1043,42.04
2022 Quarter 2,Hampton,POINT (-72.05504 41.78333),CT,1,0.58,261,150.95,24,13.88,265,153.27,203,117.41,138,79.81
2024 Quarter 3,Washington,POINT (-73.31101 41.63097),CT,0,0,244,66.21,9,2.44,229,62.14,307,83.31,168,45.59
2022 Quarter 4,Salem,POINT (-72.27692 41.49236),CT,8,1.9,471,112.14,117,27.86,391,93.1,386,91.9,386,91.9
2024 Quarter 4,Guilford,POINT (-72.68142 41.28424),CT,28,1.27,1889,85.79,329,14.94,2628,119.35,2731,124.02,1171,53.18
2023 Quarter 4,Stafford,POINT (-72.28626 41.98679),CT,9,0.79,1401,122.37,303,26.47,1196,104.46,1045,91.27,758,66.21
2024 Quarter 2,Somers,POINT (-72.44013 41.98825),CT,7,0.71,850,86.36,170,17.27,810,82.29,839,85.24,841,85.44
2022 Quarter 3,Portland,POINT (-72.63703 41.57771),CT,28,2.96,888,93.85,299,31.6,1093,115.51,853,90.15,546,57.7
2023 Quarter 3,Lebanon,POINT (-72.20098 41.64541),CT,65,9.11,856,120.02,165,23.14,675,94.64,619,86.79,556,77.96
2025 Quarter 1,Haddam,POINT (-72.50472 41.47439),CT,4,0.46,722,82.3,132,15.05,693,78.99,875,99.74,558,63.6
2024 Quarter 1,Oxford,POINT (-73.12356 41.43916),CT,16,1.24,1294,99.99,155,11.98,1150,88.86,1187,91.72,679,52.47
2025 Quarter 1,Brookfield,POINT (-73.39836 41.46765),CT,9,0.51,1372,78.45,166,9.49,1437,82.17,1987,113.61,791,45.23
2022 Quarter 1,North Branford,POINT (-72.79389 41.33239),CT,0,0,33,10.32,12,3.75,42,13.13,15,4.69,29,9.07
2023 Quarter 3,Woodbridge,POINT (-73.01207 41.35443),CT,11,1.22,526,58.12,97,10.72,735,81.21,895,98.88,339,37.45
2024 Quarter 4,Oxford,POINT (-73.12356 41.43916),CT,10,0.76,1294,98.59,183,13.94,1180,89.9,1182,90.06,738,56.23
2022 Quarter 3,Chester,POINT (-72.44903 41.4023),CT,5,1.33,416,110.87,79,21.06,417,111.14,298,79.42,213,56.77
2022 Quarter 4,Essex,POINT (-72.39087 41.35324),CT,6,0.89,483,71.46,139,20.57,734,108.6,509,75.31,509,75.31
2023 Quarter 2,Morris,POINT (-73.20025 41.68339),CT,4,1.77,223,98.72,31,13.72,263,116.42,141,62.42,158,69.94
2024 Quarter 2,Windsor Locks,POINT (-72.62737 41.92862),CT,11,0.88,1320,105.29,238,18.98,1303,103.93,957,76.33,827,65.96
2022 Quarter 4,Cromwell,POINT (-72.6535 41.61653),CT,14,0.98,1598,111.73,267,18.67,1793,125.37,1209,84.53,1209,84.53
2024 Quarter 2,Cromwell,POINT (-72.6535 41.61653),CT,21,1.47,1375,96.04,234,16.34,1720,120.14,1345,93.94,1053,73.55
2022 Quarter 1,Naugatuck,POINT (-73.05522 41.49087),CT,56,1.78,3761,119.33,723,22.94,3010,95.5,2071,65.71,1962,62.25
2024 Quarter 4,New Fairfield,POINT (-73.48605 41.46578),CT,9,0.67,1104,81.86,122,9.05,1024,75.92,1315,97.5,707,52.42
2022 Quarter 3,Union,POINT (-72.15536 41.99378),CT,0,0,44,56.34,0,0,28,35.85,28,35.85,35,44.81
2022 Quarter 2,Darien,POINT (-73.47714 41.0696),CT,4,0.19,856,39.76,59,2.74,1709,79.39,2682,124.59,649,30.15
2022 Quarter 4,Windsor Locks,POINT (-72.62737 41.92862),CT,8,0.64,1286,102.63,237,18.91,1364,108.85,882,70.39,882,70.39
2024 Quarter 3,Simsbury,POINT (-72.79998 41.8805),CT,6,0.24,1616,64.76,161,6.45,1970,78.95,2759,110.57,1125,45.08
2023 Quarter 3,Trumbull,POINT (-73.21967 41.23495),CT,19,0.51,2711,73,305,8.21,3400,91.56,3127,84.21,1451,39.07
2025 Quarter 1,Fairfield,POINT (-73.22871 41.16636),CT,28,0.44,4042,63.72,397,6.26,5359,84.48,7415,116.89,2583,40.72
2023 Quarter 4,Suffield,POINT (-72.65914 41.98373),CT,13,0.83,1166,74.12,162,10.3,1143,72.66,1243,79.02,1045,66.43
2024 Quarter 3,Union,POINT (-72.15536 41.99378),CT,0,0,53,66.5,4,5.02,45,56.46,52,65.24,40,50.19
2024 Quarter 4,Goshen,POINT (-73.23131 41.83122),CT,0,0,271,83.85,51,15.78,268,82.92,221,68.38,169,52.29
2023 Quarter 2,Southington,POINT (-72.87813 41.60022),CT,52,1.2,3985,91.61,877,20.16,4654,106.99,3497,80.39,2609,59.98
2024 Quarter 3,West Haven,POINT (-72.94998 41.27228),CT,111,2.03,5396,98.49,1305,23.82,4620,84.32,3198,58.37,2867,52.33
2023 Quarter 1,Bozrah,POINT (-72.15061 41.56752),CT,3,1.24,356,147.29,94,38.89,331,136.95,262,108.4,282,116.67
2023 Quarter 2,Groton,POINT (-72.07151 41.35486),CT,57,1.48,2717,70.65,1029,26.76,2666,69.33,2730,70.99,2003,52.09
2022 Quarter 4,Brookfield,POINT (-73.39836 41.46765),CT,6,0.34,1539,88.03,137,7.84,1582,90.49,1856,106.17,1856,106.17
2025 Quarter 1,Woodbridge,POINT (-73.01207 41.35443),CT,6,0.67,520,57.64,124,13.75,703,77.93,927,102.76,351,38.91
2022 Quarter 4,Lyme,POINT (-72.33474 41.42464),CT,1,0.43,116,49.49,26,11.09,137,58.45,127,54.18,127,54.18
2022 Quarter 3,Westport,POINT (-73.35935 41.14149),CT,9,0.33,1325,48.57,94,3.45,2575,94.39,3405,124.82,979,35.89
2024 Quarter 2,Stafford,POINT (-72.28626 41.98679),CT,5,0.44,1529,133.55,281,24.54,1174,102.54,1043,91.1,835,72.93
2024 Quarter 1,Haddam,POINT (-72.50472 41.47439),CT,7,0.81,804,92.73,140,16.15,766,88.35,818,94.35,507,58.48
2024 Quarter 1,Wolcott,POINT (-72.98422 41.57883),CT,10,0.62,1708,105.5,287,17.73,1896,117.11,1465,90.49,889,54.91
2023 Quarter 1,Milford,POINT (-73.05721 41.2253),CT,87,1.66,5983,114.2,1008,19.24,6263,119.55,4435,84.65,2762,52.72
2024 Quarter 3,New Hartford,POINT (-72.98018 41.87938),CT,5,0.75,580,86.45,132,19.68,662,98.67,671,100.01,379,56.49
2023 Quarter 4,Danbury,POINT (-73.45359 41.39268),CT,150,1.72,5661,65.09,735,8.45,4973,57.18,5254,60.41,3118,35.85
2023 Quarter 2,Easton,POINT (-73.30322 41.25238),CT,6,0.79,1091,143.67,195,25.68,1248,164.34,1254,165.13,607,79.93
2022 Quarter 2,Essex,POINT (-72.39087 41.35324),CT,9,1.34,611,91.02,140,20.86,838,124.83,552,82.23,422,62.86
2023 Quarter 3,Portland,POINT (-72.63703 41.57771),CT,38,4.03,931,98.74,246,26.09,1026,108.81,943,100.01,611,64.8
2024 Quarter 1,Newtown,POINT (-73.3087 41.41327),CT,21,0.76,2170,78.69,283,10.26,2275,82.5,3025,109.69,1349,48.92
2022 Quarter 1,Old Lyme,POINT (-72.33425 41.32392),CT,9,1.18,830,109,135,17.73,1000,131.32,882,115.82,448,58.83
2025 Quarter 1,Willington,POINT (-72.30139 41.87944),CT,7,1.26,460,82.85,102,18.37,469,84.47,507,91.32,260,46.83
2023 Quarter 4,Berlin,POINT (-72.74506 41.62316),CT,11,0.54,1826,90.41,348,17.23,2096,103.78,1573,77.88,1073,53.13
2025 Quarter 1,Middletown,POINT (-72.64977 41.56268),CT,224,4.67,4635,96.59,1615,33.66,4498,93.74,4526,94.32,3428,71.44
2023 Quarter 2,Wolcott,POINT (-72.98422 41.57883),CT,15,0.93,1736,107.43,295,18.25,1891,117.02,1351,83.6,950,58.79
2024 Quarter 1,East Granby,POINT (-72.7294 41.94359),CT,1,0.19,388,74.36,52,9.97,442,84.71,542,103.87,225,43.12
2024 Quarter 2,Goshen,POINT (-73.23131 41.83122),CT,1,0.31,233,72.74,53,16.55,270,84.3,211,65.88,168,52.45
2023 Quarter 4,Orange,POINT (-73.00012 41.26807),CT,19,1.33,1380,96.79,169,11.85,1716,120.35,1161,81.43,648,45.45
2022 Quarter 3,Cornwall,POINT (-73.32991 41.84339),CT,1,0.64,117,74.47,12,7.64,149,94.84,113,71.93,86,54.74
2023 Quarter 1,Woodstock,POINT (-71.98144 41.95623),CT,6,0.73,592,72.01,82,9.97,544,66.17,636,77.36,389,47.32
2024 Quarter 1,North Stonington,POINT (-71.90452 41.45301),CT,6,1.16,357,69,78,15.08,376,72.67,534,103.21,208,40.2
2024 Quarter 4,Bethany,POINT (-73.00346 41.42245),CT,7,1.33,469,88.98,63,11.95,493,93.53,609,115.54,265,50.28
2025 Quarter 1,East Lyme,POINT (-72.22334 41.36844),CT,14,0.74,1548,81.78,419,22.14,2097,110.78,2544,134.4,1305,68.94
2024 Quarter 3,East Windsor,POINT (-72.61661 41.92948),CT,6,0.54,558,49.96,152,13.61,515,46.11,332,29.72,369,33.03
2024 Quarter 3,Ridgefield,POINT (-73.49866 41.2845),CT,8,0.32,1306,52.38,111,4.45,1937,77.69,2990,119.93,1100,44.12
2023 Quarter 1,Newington,POINT (-72.71909 41.69555),CT,41,1.35,2481,81.71,497,16.37,3140,103.41,2113,69.59,1466,48.28
2023 Quarter 3,New Milford,POINT (-73.41375 41.57871),CT,27,0.95,2617,92.56,439,15.53,2085,73.74,2488,87.99,1355,47.92
2024 Quarter 4,Thomaston,POINT (-73.07407 41.67348),CT,7,0.93,880,117.32,198,26.4,818,109.05,604,80.52,473,63.06
2023 Quarter 4,New London,POINT (-72.09624 41.35651),CT,84,3,3036,108.51,1494,53.4,2537,90.67,2448,87.49,2307,82.45
2024 Quarter 2,Killingworth,POINT (-72.56592 41.35961),CT,6,0.96,522,83.67,115,18.43,657,105.31,646,103.54,381,61.07
2024 Quarter 2,Shelton,POINT (-73.1091 41.3226),CT,45,1.07,4097,97.79,628,14.99,3864,92.23,3479,83.04,2227,53.15
2023 Quarter 4,Trumbull,POINT (-73.21967 41.23495),CT,19,0.51,2654,71.47,313,8.43,3353,90.29,3278,88.27,1467,39.5
2022 Quarter 4,Middlefield,POINT (-72.71217 41.51513),CT,5,1.17,433,101.31,109,25.5,448,104.82,387,90.55,387,90.55
2023 Quarter 4,Lebanon,POINT (-72.20098 41.64541),CT,48,6.73,832,116.66,253,35.47,671,94.08,622,87.21,522,73.19
2023 Quarter 1,Chaplin,POINT (-72.14367 41.75973),CT,2,0.93,273,127.39,42,19.6,221,103.13,193,90.06,154,71.86
2023 Quarter 2,Redding,POINT (-73.38052 41.30402),CT,5,0.57,522,59.76,39,4.46,624,71.44,912,104.41,320,36.63
2023 Quarter 1,Stratford,POINT (-73.13308 41.19875),CT,67,1.28,5239,100.23,555,10.62,4857,92.92,3281,62.77,2202,42.13
2024 Quarter 1,Danbury,POINT (-73.45359 41.39268),CT,179,2.06,5587,64.24,751,8.64,4992,57.4,5382,61.89,3191,36.69
2024 Quarter 3,Coventry,POINT (-72.30498 41.77009),CT,14,1.14,1014,82.39,216,17.55,1282,104.16,1268,103.02,787,63.94
2023 Quarter 2,Rocky Hill,POINT (-72.63901 41.66857),CT,20,0.96,1488,71.72,288,13.88,2005,96.65,1474,71.05,945,45.55
2022 Quarter 4,Bloomfield,POINT (-72.73487 41.82963),CT,7,0.33,1826,85.01,192,8.94,1646,76.63,842,39.2,842,39.2
2025 Quarter 1,Thomaston,POINT (-73.07407 41.67348),CT,6,0.8,888,118.38,212,28.26,811,108.12,638,85.06,472,62.92
2025 Quarter 1,Voluntown,POINT (-71.86749 41.57275),CT,4,1.53,292,111.79,46,17.61,240,91.88,298,114.09,170,65.08
2022 Quarter 2,Waterbury,POINT (-73.04647 41.5549),CT,200,1.75,12805,111.91,2458,21.48,8819,77.07,5079,44.39,7048,61.59
2024 Quarter 1,Sharon,POINT (-73.47017 41.88513),CT,7,2.57,267,98.02,30,11.01,289,106.09,196,71.95,215,78.93
2023 Quarter 4,Wethersfield,POINT (-72.66228 41.71109),CT,12,0.44,1985,73.17,273,10.06,2599,95.8,2103,77.52,1257,46.33
2023 Quarter 2,Farmington,POINT (-72.83774 41.71291),CT,19,0.71,1855,69.62,261,9.8,2162,81.14,2062,77.39,1285,48.23
2025 Quarter 1,Lebanon,POINT (-72.20098 41.64541),CT,29,4.08,784,110.3,243,34.19,665,93.56,716,100.73,564,79.35
2023 Quarter 1,Lisbon,POINT (-72.01016 41.60741),CT,5,1.19,436,103.86,128,30.49,435,103.62,339,80.75,248,59.08
2024 Quarter 2,West Hartford,POINT (-72.74434 41.75922),CT,33,0.51,3398,52.87,488,7.59,5201,80.92,6746,104.96,3044,47.36
2024 Quarter 2,Rocky Hill,POINT (-72.63901 41.66857),CT,18,0.87,1491,71.99,301,14.53,1927,93.04,1597,77.11,1021,49.3
2022 Quarter 1,East Hampton,POINT (-72.50529 41.57999),CT,8,0.63,878,69.08,196,15.42,861,67.75,724,56.97,456,35.88
2024 Quarter 4,East Windsor,POINT (-72.61661 41.92948),CT,9,0.81,600,53.72,144,12.89,510,45.66,390,34.91,378,33.84
2025 Quarter 1,Oxford,POINT (-73.12356 41.43916),CT,6,0.46,1267,96.53,157,11.96,1147,87.39,1263,96.23,730,55.62
2022 Quarter 2,Sterling,POINT (-71.82867 41.70749),CT,8,2.23,357,99.69,175,48.87,289,80.7,300,83.78,177,49.43
2023 Quarter 3,Enfield,POINT (-72.57439 41.9984),CT,51,1.24,3917,94.97,1182,28.66,3802,92.18,3241,78.58,2916,70.7
2022 Quarter 1,Clinton,POINT (-72.52778 41.27864),CT,15,1.14,1541,116.97,529,40.15,1791,135.95,1337,101.49,785,59.59
2024 Quarter 1,Weston,POINT (-73.38307 41.22438),CT,5,0.48,504,48.68,34,3.28,875,84.51,1616,156.07,216,20.86
2024 Quarter 1,South Windsor,POINT (-72.56027 41.82628),CT,16,0.6,1808,67.51,236,8.81,2104,78.56,1950,72.81,1357,50.67
2023 Quarter 2,North Stonington,POINT (-71.90452 41.45301),CT,6,1.17,331,64.43,75,14.6,352,68.52,486,94.61,231,44.97
2023 Quarter 3,Naugatuck,POINT (-73.05522 41.49087),CT,45,1.42,3551,112,779,24.57,2847,89.8,2159,68.1,2041,64.37
2022 Quarter 2,New Canaan,POINT (-73.49182 41.14598),CT,3,0.15,983,47.71,79,3.83,1895,91.97,2667,129.43,803,38.97
2022 Quarter 1,Wethersfield,POINT (-72.66228 41.71109),CT,15,0.55,2189,80.27,312,11.44,2771,101.61,1873,68.68,1102,40.41
2022 Quarter 4,Vernon,POINT (-72.44806 41.86753),CT,36,1.19,3530,116.4,728,24.01,3699,121.97,2240,73.86,2240,73.86
2022 Quarter 3,Branford,POINT (-72.81344 41.28321),CT,56,1.99,2997,106.37,740,26.26,4720,167.52,2959,105.02,2007,71.23
2022 Quarter 3,Franklin,POINT (-72.14672 41.61149),CT,2,1.07,186,99.89,31,16.65,192,103.11,162,87,123,66.06
2024 Quarter 2,Plainfield,POINT (-71.91829 41.68003),CT,27,1.78,1975,130.42,574,37.91,1867,123.29,1691,111.67,1292,85.32
2022 Quarter 2,Brookfield,POINT (-73.39836 41.46765),CT,9,0.51,1545,88.2,199,11.36,1644,93.85,1945,111.03,655,37.39
2024 Quarter 4,Vernon,POINT (-72.44806 41.86753),CT,44,1.44,3492,114.13,869,28.4,3441,112.47,2848,93.08,2336,76.35
2024 Quarter 3,Granby,POINT (-72.78526 41.95258),CT,6,0.53,787,69.96,90,8,874,77.7,961,85.43,600,53.34
2022 Quarter 1,Granby,POINT (-72.78526 41.95258),CT,8,0.73,893,81.99,93,8.54,959,88.05,850,78.05,519,47.65
2024 Quarter 4,Woodbury,POINT (-73.20877 41.54365),CT,4,0.41,775,78.58,103,10.44,950,96.33,959,97.24,497,50.4
2022 Quarter 1,Prospect,POINT (-72.9779 41.50128),CT,8,0.85,1128,119.96,105,11.17,975,103.69,723,76.89,419,44.56
2022 Quarter 4,Shelton,POINT (-73.1091 41.3226),CT,48,1.16,4196,101.17,574,13.84,3975,95.84,3088,74.46,3088,74.46
2024 Quarter 3,Windsor Locks,POINT (-72.62737 41.92862),CT,8,0.64,1321,105.44,284,22.67,1289,102.88,983,78.46,828,66.09
2022 Quarter 3,Hartford,POINT (-72.67397 41.76381),CT,351,2.91,8260,68.5,2445,20.28,5196,43.09,3623,30.05,6183,51.28
2022 Quarter 2,Ashford,POINT (-72.189 41.86322),CT,6,1.43,458,109.44,38,9.08,419,100.12,369,88.17,285,68.1
2022 Quarter 1,Thomaston,POINT (-73.07407 41.67348),CT,8,1.08,938,126.31,198,26.66,901,121.33,565,76.08,348,46.86
2023 Quarter 4,Hamden,POINT (-72.90159 41.38428),CT,108,1.78,4991,82.08,760,12.5,4642,76.34,3586,58.97,2762,45.42
2024 Quarter 3,Sprague,POINT (-72.08483 41.61708),CT,0,0,382,129.93,157,53.4,326,110.88,389,132.31,295,100.34
2024 Quarter 2,Ashford,POINT (-72.189 41.86322),CT,4,0.95,445,105.4,69,16.34,421,99.72,411,97.35,292,69.16
2025 Quarter 1,Norwalk,POINT (-73.40765 41.11366),CT,76,0.82,5036,54.47,671,7.26,5791,62.63,6498,70.28,3602,38.96
2023 Quarter 1,Granby,POINT (-72.78526 41.95258),CT,5,0.46,873,79.7,70,6.39,911,83.17,852,77.79,623,56.88
2022 Quarter 3,Middlebury,POINT (-73.12099 41.5278),CT,4,0.52,639,83.16,86,11.19,743,96.69,742,96.56,308,40.08
2023 Quarter 1,Plymouth,POINT (-73.05273 41.67196),CT,9,0.77,1539,132,328,28.13,1316,112.87,930,79.77,799,68.53
2023 Quarter 1,Old Saybrook,POINT (-72.37706 41.29725),CT,19,1.8,979,92.68,193,18.27,1416,134.05,1134,107.36,566,53.58
2022 Quarter 1,Chaplin,POINT (-72.14367 41.75973),CT,1,0.47,244,113.97,41,19.15,209,97.62,183,85.47,151,70.53
2023 Quarter 2,Waterbury,POINT (-73.04647 41.5549),CT,299,2.63,12421,109.14,2273,19.97,8297,72.9,5389,47.35,7113,62.5
2024 Quarter 2,Durham,POINT (-72.68039 41.47169),CT,7,0.97,535,74.23,155,21.51,641,88.94,635,88.11,383,53.14
2025 Quarter 1,Sharon,POINT (-73.47017 41.88513),CT,3,1.09,310,112.97,21,7.65,288,104.96,230,83.82,150,54.66
2024 Quarter 4,Waterbury,POINT (-73.04647 41.5549),CT,183,1.59,11360,98.79,2362,20.54,7764,67.52,5553,48.29,6701,58.27
2022 Quarter 1,Bethel,POINT (-73.39842 41.38578),CT,16,0.79,1815,89.27,155,7.62,1956,96.21,1923,94.58,890,43.78
2024 Quarter 4,Ashford,POINT (-72.189 41.86322),CT,4,0.95,428,101.21,65,15.37,394,93.17,439,103.81,271,64.08
2022 Quarter 1,Madison,POINT (-72.59507 41.27973),CT,14,0.79,1193,67.56,276,15.63,2076,117.57,2174,123.12,759,42.98
2023 Quarter 3,Bristol,POINT (-72.94661 41.67574),CT,113,1.84,7136,116.35,1905,31.06,6549,106.78,4856,79.18,4607,75.12
2024 Quarter 1,Thomaston,POINT (-73.07407 41.67348),CT,9,1.21,862,115.43,183,24.5,834,111.68,650,87.04,470,62.94
2024 Quarter 2,Woodstock,POINT (-71.98144 41.95623),CT,4,0.48,535,64.36,88,10.59,460,55.34,673,80.97,410,49.33
2025 Quarter 1,Glastonbury,POINT (-72.60499 41.71227),CT,14,0.4,2003,56.9,282,8.01,2985,84.79,3776,107.26,1540,43.75
2022 Quarter 4,Hamden,POINT (-72.90159 41.38428),CT,98,1.61,5231,85.86,725,11.9,4898,80.4,3292,54.04,3292,54.04
2022 Quarter 2,Salisbury,POINT (-73.42246 41.98282),CT,0,0,181,43.19,65,15.51,219,52.25,271,64.66,119,28.39
2022 Quarter 1,Roxbury,POINT (-73.31102 41.56218),CT,2,0.88,167,73.89,3,1.33,181,80.09,141,62.39,84,37.17
2022 Quarter 1,Groton,POINT (-72.07151 41.35486),CT,58,1.51,2765,71.92,1026,26.69,2742,71.32,2537,65.99,1755,45.65
2023 Quarter 2,Killingworth,POINT (-72.56592 41.35961),CT,4,0.64,528,84.24,100,15.95,688,109.76,646,103.06,364,58.07
2022 Quarter 3,East Hampton,POINT (-72.50529 41.57999),CT,13,1.01,1271,98.73,245,19.03,1320,102.53,1112,86.38,625,48.55
2022 Quarter 2,Hebron,POINT (-72.35799 41.66031),CT,8,0.88,829,91.08,183,20.11,886,97.34,833,91.52,538,59.11
2022 Quarter 2,Mansfield,POINT (-72.24121 41.80102),CT,8,0.31,753,29.09,154,5.95,812,31.37,721,27.86,470,18.16
2025 Quarter 1,Branford,POINT (-72.81344 41.28321),CT,38,1.36,3190,113.8,732,26.11,4299,153.37,3303,117.83,2049,73.1
2022 Quarter 3,Newington,POINT (-72.71909 41.69555),CT,21,0.69,2619,86.25,554,18.24,3178,104.66,2159,71.1,1493,49.17
2022 Quarter 4,Avon,POINT (-72.83009 41.81094),CT,6,0.32,1176,62.39,129,6.84,1688,89.56,1680,89.13,1680,89.13
2024 Quarter 3,Naugatuck,POINT (-73.05522 41.49087),CT,37,1.16,3475,109.21,820,25.77,2923,91.86,2419,76.02,2028,63.73
2022 Quarter 2,East Granby,POINT (-72.7294 41.94359),CT,0,0,156,29.9,27,5.17,115,22.04,127,24.34,80,15.33
