Date,Patient Residence,geolocation,State,Naloxone Prescription Count,"Naloxone Rate per 1,000 Residents",Opiate Agonist Prescription Count,"Opiate Agonist Rate per 1,000 Residents",Opiate Partial Agonist Prescription Count,"Opiate Partial Agonist Rate per 1,000 Residents",Benzodiazepine Prescription Count,"Benzodiazepine Rate per 1,000 Residents",Stimulant Prescription Count,"Stimulant Rate per 1,000 Residents",Gabapentin Prescription Count,"Gabapentin Rate per 1,000 Residents"
2023 Quarter 4,Scotland,POINT (-72.08296 41.69848),CT,1,0.63,66,41.85,11,6.98,60,38.05,44,27.9,51,32.34
2022 Quarter 2,Danbury,POINT (-73.45359 41.39268),CT,141,1.63,6093,70.38,704,8.13,5332,61.59,5056,58.4,3159,36.49
2022 Quarter 4,New Fairfield,POINT (-73.48605 41.46578),CT,5,0.37,1158,85.49,103,7.6,1012,74.71,1268,93.61,1268,93.61
2024 Quarter 1,Montville,POINT (-72.13662 41.45396),CT,32,1.79,1955,109.27,483,27,1802,100.72,2265,126.6,1407,78.64
2023 Quarter 3,Colchester,POINT (-72.32694 41.5749),CT,21,1.35,2098,134.73,389,24.98,1870,120.09,1745,112.06,1015,65.18
2023 Quarter 2,Bristol,POINT (-72.94661 41.67574),CT,118,1.95,7352,121.2,1886,31.09,6611,108.98,4779,78.78,4666,76.92
2023 Quarter 3,Willington,POINT (-72.30139 41.87944),CT,6,1.08,483,87.12,84,15.15,479,86.4,455,82.07,311,56.1
2024 Quarter 1,Stamford,POINT (-73.54222 41.05195),CT,39,0.29,5941,43.62,780,5.73,8128,59.68,8402,61.69,4613,33.87
2024 Quarter 1,Vernon,POINT (-72.44806 41.86753),CT,37,1.21,3598,117.49,792,25.86,3691,120.52,2506,81.83,2331,76.11
2022 Quarter 1,Bloomfield,POINT (-72.73487 41.82963),CT,22,1.03,1812,84.44,187,8.71,1680,78.29,827,38.54,1078,50.23
2025 Quarter 1,Woodbury,POINT (-73.20877 41.54365),CT,3,0.3,774,78.48,87,8.82,846,85.78,976,98.97,500,50.7
2024 Quarter 3,Bridgewater,POINT (-73.36584 41.53374),CT,3,1.82,125,75.94,9,5.47,140,85.05,151,91.74,72,43.74
2023 Quarter 3,Hartland,POINT (-72.90676 41.99858),CT,0,0,97,50.84,16,8.39,100,52.41,140,73.38,66,34.59
2024 Quarter 3,North Branford,POINT (-72.79389 41.33239),CT,21,1.57,1376,102.57,342,25.49,1671,124.56,1410,105.11,782,58.29
2024 Quarter 1,Lyme,POINT (-72.33474 41.42464),CT,2,0.83,123,51.23,14,5.83,138,57.48,114,47.48,83,34.57
2024 Quarter 2,Waterbury,POINT (-73.04647 41.5549),CT,191,1.66,11828,102.84,2401,20.88,8196,71.26,5748,49.98,6993,60.8
2024 Quarter 2,Naugatuck,POINT (-73.05522 41.49087),CT,42,1.32,3655,115.28,742,23.4,2895,91.31,2426,76.52,2089,65.89
2022 Quarter 3,Ellington,POINT (-72.46909 41.90438),CT,12,0.72,1317,79.19,227,13.65,1519,91.34,1021,61.4,774,46.54
2022 Quarter 3,Easton,POINT (-73.30322 41.25238),CT,10,1.32,1160,152.75,190,25.02,1291,170,1093,143.93,627,82.57
2022 Quarter 1,Greenwich,POINT (-73.63981 41.06425),CT,13,0.2,2982,46.96,351,5.53,5353,84.3,6477,102,1700,26.77
2024 Quarter 2,Stamford,POINT (-73.54222 41.05195),CT,56,0.41,5954,43.72,685,5.03,8243,60.53,8633,63.39,4764,34.98
2023 Quarter 3,Seymour,POINT (-73.08051 41.39761),CT,38,2.26,2116,125.88,395,23.5,1607,95.6,1488,88.52,1101,65.5
2024 Quarter 3,Hebron,POINT (-72.35799 41.66031),CT,5,0.55,726,79.38,171,18.7,877,95.89,829,90.64,450,49.2
2023 Quarter 4,Simsbury,POINT (-72.79998 41.8805),CT,14,0.56,1572,63.04,169,6.78,2044,81.97,2576,103.31,1079,43.27
2022 Quarter 4,Clinton,POINT (-72.52778 41.27864),CT,16,1.19,1615,120.52,501,37.39,1722,128.51,1477,110.22,1477,110.22
2025 Quarter 1,Bethany,POINT (-73.00346 41.42245),CT,3,0.57,390,73.99,60,11.38,441,83.67,647,122.75,236,44.77
2022 Quarter 4,East Lyme,POINT (-72.22334 41.36844),CT,21,1.11,1682,89.24,341,18.09,2301,122.08,2125,112.74,2125,112.74
2022 Quarter 1,Torrington,POINT (-73.0862 41.80137),CT,116,3.27,4963,140.11,1410,39.81,5337,150.67,3062,86.44,2876,81.19
2024 Quarter 3,Eastford,POINT (-72.07648 41.90571),CT,2,1.18,132,78.15,17,10.07,119,70.46,144,85.26,599,354.65
2024 Quarter 4,Bethel,POINT (-73.39842 41.38578),CT,11,0.53,1786,86.37,189,9.14,2113,102.19,2303,111.37,1005,48.6
2022 Quarter 3,Windham,POINT (-72.15472 41.69996),CT,102,4.19,2996,122.98,904,37.11,2067,84.85,1599,65.64,2132,87.51
2025 Quarter 1,Weston,POINT (-73.38307 41.22438),CT,9,0.87,468,45.24,64,6.19,873,84.4,1841,177.98,329,31.81
2023 Quarter 3,Waterbury,POINT (-73.04647 41.5549),CT,224,1.95,11808,102.66,2097,18.23,8100,70.42,5385,46.82,6596,57.35
2024 Quarter 4,Thompson,POINT (-71.86424 41.95972),CT,5,0.53,667,71.07,158,16.84,617,65.74,729,77.68,547,58.28
2023 Quarter 1,Salisbury,POINT (-73.42246 41.98282),CT,0,0,195,47.42,42,10.21,228,55.45,315,76.61,129,31.37
2023 Quarter 1,East Haddam,POINT (-72.46388 41.45985),CT,15,1.67,956,106.64,209,23.31,895,99.83,852,95.04,525,58.56
2023 Quarter 4,New Haven,POINT (-72.92432 41.30801),CT,615,4.43,10875,78.29,2491,17.93,7315,52.66,6918,49.8,7629,54.92
2025 Quarter 1,Preston,POINT (-71.98967 41.52951),CT,5,1.04,449,92.98,100,20.71,471,97.54,702,145.37,359,74.34
2024 Quarter 4,Branford,POINT (-72.81344 41.28321),CT,59,2.1,3101,110.63,714,25.47,4460,159.11,3298,117.66,2039,72.74
2022 Quarter 3,Stamford,POINT (-73.54222 41.05195),CT,45,0.33,6646,48.76,688,5.05,8884,65.18,8186,60.05,4485,32.9
2023 Quarter 4,Fairfield,POINT (-73.22871 41.16636),CT,34,0.54,4085,64.97,404,6.43,5329,84.76,6650,105.77,2314,36.81
2023 Quarter 1,Suffield,POINT (-72.65914 41.98373),CT,9,0.57,1207,76.09,184,11.6,1196,75.4,1089,68.65,679,42.81
2023 Quarter 4,Union,POINT (-72.15536 41.99378),CT,0,0,56,70.62,0,0,36,45.4,37,46.66,28,35.31
2025 Quarter 1,Thompson,POINT (-71.86424 41.95972),CT,1,0.11,630,67.13,134,14.28,611,65.1,753,80.23,512,54.56
2023 Quarter 4,Mansfield,POINT (-72.24121 41.80102),CT,27,0.85,965,30.2,205,6.42,1207,37.78,1156,36.18,664,20.78
