report_period,town,prescription_count,rate_per_1000
2022 Quarter 4,Derby,902,73.49
2022 Quarter 4,Durham,546,75.51
2022 Quarter 4,East Granby,479,92.47
2022 Quarter 4,East Haddam,845,94.26
2022 Quarter 4,East Hampton,1141,88.63
2022 Quarter 4,East Hartford,2003,39.48
2022 Quarter 4,East Haven,2121,76.28
2022 Quarter 4,East Lyme,2125,112.74
2022 Quarter 4,East Windsor,257,23.03
2022 Quarter 4,Eastford,100,60.24
2022 Quarter 4,Easton,1169,153.94
2022 Quarter 4,Ellington,1060,63.74
2022 Quarter 4,Enfield,3099,73.73
2022 Quarter 4,Essex,509,75.31
2022 Quarter 4,Fairfield,6293,101.58
2022 Quarter 4,Farmington,2022,75.89
2022 Quarter 4,Franklin,162,87.0
2022 Quarter 4,Glastonbury,3064,87.41
2022 Quarter 4,Goshen,228,72.04
2022 Quarter 4,Granby,929,84.82
2022 Quarter 4,Greenwich,6802,107.09
2022 Quarter 4,Griswold,1400,122.73
2022 Quarter 4,Groton,2625,68.26
2022 Quarter 4,Guilford,2344,106.4
2022 Quarter 4,Haddam,763,89.46
2022 Quarter 4,Hamden,3292,54.04
2022 Quarter 4,Hampton,163,94.33
2022 Quarter 4,Hartford,3708,30.75
2022 Quarter 4,Hartland,139,73.51
2022 Quarter 4,Harwinton,404,73.35
2022 Quarter 4,Hebron,806,88.9
2022 Quarter 4,Kent,258,86.46
2022 Quarter 4,Killingly,1664,93.79
2022 Quarter 4,Killingworth,614,97.96
2022 Quarter 4,Lebanon,597,83.99
2022 Quarter 4,Ledyard,1738,113.33
2022 Quarter 4,Lisbon,316,75.27
2022 Quarter 4,Litchfield,707,86.54
2022 Quarter 4,Lyme,127,54.18
2022 Quarter 4,Madison,2159,122.54
2022 Quarter 4,Manchester,4031,67.83
2022 Quarter 4,Mansfield,1087,41.24
2022 Quarter 4,Marlborough,603,98.97
2022 Quarter 4,Meriden,4004,66.16
2022 Quarter 4,Middlebury,784,102.03
2022 Quarter 4,Middlefield,387,90.55
2022 Quarter 4,Middletown,3587,76.14
2022 Quarter 4,Milford,4451,84.96
2022 Quarter 4,Monroe,1650,87.93
2022 Quarter 4,Montville,1929,104.39
